Time,strategy,fog_count
9.55,Aggressive,988.24
9.55,Balanced,995.84
9.55,Conservative,999.24
9.55,Opportunistic,996.12
9.6,Conservative,999.24
9.6,Opportunistic,996.08
9.6,Cyclic,998.74
9.6,Aggressive,988.1
9.6,Balanced,995.8
9.65,Cyclic,998.74
9.65,Opportunistic,996.0
9.65,Balanced,995.72
9.65,Aggressive,988.08
9.65,Conservative,999.22
9.7,Conservative,999.18
9.7,Aggressive,988.0
9.7,Opportunistic,996.0
9.7,Cyclic,998.72
9.7,Balanced,995.64
9.75,Balanced,995.64
9.75,Opportunistic,995.96
9.75,Conservative,999.18
9.75,Cyclic,998.7
9.75,Aggressive,987.96
9.8,Conservative,999.18
9.8,Opportunistic,995.94
9.8,Aggressive,987.96
9.8,Cyclic,998.66
9.8,Balanced,995.56
9.85,Cyclic,998.66
9.85,Balanced,995.56
9.85,Opportunistic,995.88
9.85,Aggressive,987.84
9.85,Conservative,999.16
9.9,Cyclic,998.64
9.9,Conservative,999.16
9.9,Opportunistic,995.86
9.9,Aggressive,987.76
9.9,Balanced,995.48
9.95,Conservative,999.16
9.95,Aggressive,987.66
9.95,Balanced,995.42
9.95,Cyclic,998.64
9.95,Opportunistic,995.86
10.0,Opportunistic,995.82
10.0,Balanced,995.4
10.0,Aggressive,987.58
10.0,Cyclic,998.64
10.0,Conservative,999.12
