Time,strategy,avg_profit
3.6,Aggressive,-0.06676372495269274
3.6,Conservative,-0.021083136417618137
3.6,Balanced,-0.045031329941059094
3.6,Cyclic,-0.06735552754253948
3.65,Balanced,-0.04552382618390597
3.65,Aggressive,-0.06733361240916481
3.65,Cyclic,-0.06816257527650504
3.65,Opportunistic,-0.05156520456507705
3.65,Conservative,-0.021434150344876387
3.7,Cyclic,-0.06898526961261214
3.7,Aggressive,-0.0681138145439804
3.7,Conservative,-0.02168348830591105
3.7,Opportunistic,-0.052069202366900845
3.7,Balanced,-0.04598596468415468
3.75,Conservative,-0.021932165712802546
3.75,Opportunistic,-0.052726590259461324
3.75,Balanced,-0.04662620166729866
3.75,Aggressive,-0.06911266520710224
3.75,Cyclic,-0.06992891725809612
3.8,Opportunistic,-0.05318713401095677
3.8,Balanced,-0.0471792643096301
3.8,Conservative,-0.022311177046611987
3.8,Cyclic,-0.07058957481408917
3.8,Aggressive,-0.07002822445269512
3.85,Balanced,-0.04759663635558576
3.85,Cyclic,-0.0715270871690325
3.85,Opportunistic,-0.0537845183372443
3.85,Conservative,-0.0225404952342203
3.85,Aggressive,-0.0710495758999138
3.9,Aggressive,-0.07185353724487784
3.9,Opportunistic,-0.05444081621305577
3.9,Conservative,-0.02272192034727207
3.9,Balanced,-0.048136803796530216
3.9,Cyclic,-0.0724972530166797
3.95,Aggressive,-0.07254113524470482
3.95,Opportunistic,-0.05507290912363692
3.95,Conservative,-0.02304447269929113
3.95,Balanced,-0.04859647299993721
3.95,Cyclic,-0.07343205478937825
4.0,Cyclic,-0.074107470218244
4.0,Conservative,-0.02312594883648107
4.0,Balanced,-0.04921113984414191
4.0,Aggressive,-0.07352985135291111
4.0,Opportunistic,-0.05561475510286184
4.05,Opportunistic,-0.05635139754247302
4.05,Cyclic,-0.07466826080197467
4.05,Conservative,-0.023343571708806233
4.05,Aggressive,-0.07441738243784278
4.05,Balanced,-0.04966952613622746
4.1,Conservative,-0.02361051173018717
4.1,Aggressive,-0.07530606222642151
4.1,Opportunistic,-0.05712410511518553
4.1,Cyclic,-0.07558159365415
4.1,Balanced,-0.05027272828717686
4.15,Opportunistic,-0.05781612885265232
4.15,Cyclic,-0.07670192840168404
4.15,Balanced,-0.05087096141669753
4.15,Conservative,-0.023881545869455453
4.15,Aggressive,-0.07626644176091513
4.2,Aggressive,-0.0770113753412266
4.2,Conservative,-0.024212582366517656
4.2,Cyclic,-0.07734171560685729
4.2,Balanced,-0.05143655820092921
4.2,Opportunistic,-0.05854830301898421
4.25,Cyclic,-0.07823500900314745
4.25,Balanced,-0.05200363995613518
4.25,Conservative,-0.024454413774541862
4.25,Opportunistic,-0.05921235318083262
4.25,Aggressive,-0.07781571827800877
4.3,Cyclic,-0.07894445636766705
4.3,Aggressive,-0.07853382070874065
4.3,Conservative,-0.02470971098592766
4.3,Balanced,-0.05237469110228766
4.3,Opportunistic,-0.05982708698559172
4.35,Conservative,-0.02486776095901325
4.35,Aggressive,-0.07946496075714324
4.35,Balanced,-0.05304479030705833
4.35,Cyclic,-0.07988958348504666
4.35,Opportunistic,-0.06047291577972189
4.4,Conservative,-0.02517062463467274
4.4,Cyclic,-0.08076154057295751
4.4,Aggressive,-0.08029022819031695
4.4,Balanced,-0.0537050587823576
4.4,Opportunistic,-0.06090318704411832
4.45,Conservative,-0.025275716730786532
4.45,Balanced,-0.05412577317880066
4.45,Cyclic,-0.08154811842547628
4.45,Opportunistic,-0.0614394594000557
4.45,Aggressive,-0.08117619725131893
4.5,Balanced,-0.05489831027995363
4.5,Aggressive,-0.08185783670593187
4.5,Opportunistic,-0.06205103293179684
4.5,Conservative,-0.02538433890860937
4.5,Cyclic,-0.08245223629363131
4.55,Aggressive,-0.0823338029182359
4.55,Balanced,-0.055414786952859514
4.55,Conservative,-0.025681444766034983
4.55,Opportunistic,-0.06272850380320877
4.55,Cyclic,-0.08368306089284619
4.6,Balanced,-0.055832284006912924
4.6,Conservative,-0.02595846545861383
4.6,Aggressive,-0.08303171094698653
4.6,Cyclic,-0.08443057265767981
4.6,Opportunistic,-0.06311845834866602
4.65,Cyclic,-0.08504124602532682
4.65,Balanced,-0.05646304153337344
4.65,Opportunistic,-0.06357756520277856
4.65,Aggressive,-0.08386317436194704
4.65,Conservative,-0.026088927280336183
4.7,Cyclic,-0.08545512695346831
4.7,Opportunistic,-0.06415711638686282
4.7,Balanced,-0.05703256325047181
4.7,Aggressive,-0.0844041216625717
4.7,Conservative,-0.02627640277649963
4.75,Conservative,-0.026337721287571697
4.75,Balanced,-0.05772207322435145
4.75,Opportunistic,-0.06493490395201908
4.75,Cyclic,-0.08592216016118996
4.75,Aggressive,-0.08515730170857175
4.8,Opportunistic,-0.0656670341583791
4.8,Conservative,-0.026517767533856724
4.8,Aggressive,-0.08609999080281326
4.8,Cyclic,-0.08685699500752941
4.8,Balanced,-0.058335315918713534
4.85,Opportunistic,-0.06605560961418322
4.85,Cyclic,-0.0875187255766995
4.85,Balanced,-0.05866714130237851
4.85,Aggressive,-0.08687145195580523
4.85,Conservative,-0.026806091160604822
4.9,Aggressive,-0.0874907654991312
4.9,Conservative,-0.027149970370719662
4.9,Cyclic,-0.08804264437815779
4.9,Balanced,-0.05901507797141825
4.9,Opportunistic,-0.06675634757819529
4.95,Conservative,-0.027484660342533714
4.95,Opportunistic,-0.06728716824912538
4.95,Balanced,-0.05964413754582213
4.95,Cyclic,-0.08861770252906308
4.95,Aggressive,-0.08846352265583678
5.0,Opportunistic,-0.06799380980157041
5.0,Conservative,-0.02768973392250111
5.0,Cyclic,-0.08938161669081744
5.0,Aggressive,-0.08928526934536148
5.0,Balanced,-0.06005035461205343
5.05,Cyclic,-0.09025319575770098
5.05,Balanced,-0.06057760328067353
5.05,Conservative,-0.02786956733729776
5.05,Opportunistic,-0.06851550997280985
5.05,Aggressive,-0.09019346292080442
5.1,Cyclic,-0.09101948019612753
5.1,Aggressive,-0.09110432051630138
5.1,Opportunistic,-0.06897959571293391
5.1,Balanced,-0.06099078905984264
5.1,Conservative,-0.027938623184626504
5.15,Balanced,-0.06157939631985065
5.15,Aggressive,-0.0919021350484355
5.15,Opportunistic,-0.06945354756231847
5.15,Conservative,-0.028216020366176764
5.15,Cyclic,-0.09187231380615116
5.2,Cyclic,-0.09270468139931447
5.2,Aggressive,-0.09274302970472666
5.2,Conservative,-0.028515270658882482
5.2,Balanced,-0.06215422450637623
5.2,Opportunistic,-0.0699385204934146
5.25,Cyclic,-0.09352735785529566
5.25,Balanced,-0.06277905144392563
5.25,Aggressive,-0.09359965947719777
5.25,Conservative,-0.028737954930275648
5.25,Opportunistic,-0.07069560677472399
5.3,Aggressive,-0.09432929881758374
5.3,Cyclic,-0.09442387067783561
5.3,Balanced,-0.06323337569901788
5.3,Conservative,-0.028935091448696163
5.3,Opportunistic,-0.07117151397754058
5.35,Opportunistic,-0.07170286058029003
5.35,Cyclic,-0.09516833914778754
5.35,Balanced,-0.06389652830967582
5.35,Conservative,-0.02912442050211983
5.35,Aggressive,-0.09481858464238456
5.4,Opportunistic,-0.07200381959374653
5.4,Balanced,-0.06435374828042245
5.4,Cyclic,-0.09577557664702686
5.4,Aggressive,-0.09552733461519371
5.4,Conservative,-0.02931484081500108
5.45,Balanced,-0.06486441535304929
5.45,Aggressive,-0.09613694792502624
5.45,Cyclic,-0.09648751524764981
5.45,Opportunistic,-0.07275089751227798
5.45,Conservative,-0.029810352614262025
5.5,Cyclic,-0.09707930247530702
5.5,Opportunistic,-0.07327742924642972
5.5,Conservative,-0.03009516303921621
5.5,Aggressive,-0.09671959400113622
5.5,Balanced,-0.06533917083171346
5.55,Aggressive,-0.09760970507213391
5.55,Cyclic,-0.09785789624257654
5.55,Balanced,-0.06582453514078171
5.55,Opportunistic,-0.07382985058881107
5.55,Conservative,-0.030420791380836084
5.6,Balanced,-0.0660512219037327
5.6,Aggressive,-0.09865428160590149
5.6,Opportunistic,-0.0743709650650858
5.6,Conservative,-0.030573253573563774
5.6,Cyclic,-0.09853973608124209
5.65,Aggressive,-0.0994102224219492
5.65,Cyclic,-0.09964894718348512
5.65,Conservative,-0.030788325399588323
5.65,Balanced,-0.0665490781660038
5.65,Opportunistic,-0.07496462707785521
5.7,Cyclic,-0.10035883354151282
5.7,Opportunistic,-0.07561365353116814
5.7,Aggressive,-0.10016628659215096
5.7,Conservative,-0.0309539331995527
5.7,Balanced,-0.06709837807787428
5.75,Aggressive,-0.10114731398536128
5.75,Conservative,-0.031151068521904433
5.75,Cyclic,-0.10103192138187778
5.75,Balanced,-0.06782011583300203
5.75,Opportunistic,-0.0764037321271238
5.8,Balanced,-0.06852087625121052
5.8,Cyclic,-0.10175947349508617
5.8,Opportunistic,-0.07715164480236109
5.8,Conservative,-0.031395962245973214
5.8,Aggressive,-0.10183671933179493
5.85,Conservative,-0.03156135293007107
5.85,Cyclic,-0.10252936652596958
5.85,Balanced,-0.06901331829982194
5.85,Opportunistic,-0.07774915993198783
5.85,Aggressive,-0.10236604267970721
5.9,Aggressive,-0.10295803167818289
5.9,Opportunistic,-0.07848001736003471
5.9,Balanced,-0.06979337134472373
5.9,Cyclic,-0.10310073343591847
5.9,Conservative,-0.03185563163489716
5.95,Conservative,-0.0321575691407512
5.95,Aggressive,-0.10348971015188138
5.95,Cyclic,-0.10393462371025536
5.95,Balanced,-0.07029523118352135
5.95,Opportunistic,-0.07914075517951576
6.0,Cyclic,-0.10462536725658084
